Video Label,Audio Labels
adult+female+singing,"Female singing; Female speech, woman speaking; Synthetic singing; Male speech, man speaking; Male singing"
adult+female+speaking,"Female speech, woman speaking; Male speech, man speaking; Child speech, kid speaking; Civil defense siren; Animal"
adult+male+singing,"Male singing; Female singing; Male speech, man speaking; Female speech, woman speaking; Synthetic singing"
adult+male+speaking,"Male speech, man speaking; Female speech, woman speaking; Child speech, kid speaking; Animal; Civil defense siren"
applauding,Applause; Yodeling; Fireworks; Wedding music; Cheering
ascending,Splinter; Static; Liquid; Drip; Squeak
asking,Whispering; Conversation; Typing; Scissors; Alarm
assembling,Computer keyboard; Children shouting; Sawing; Reversing beeps; Yodeling
autographing,Child singing; Sanding; Environmental noise; Basketball bounce; Sewing machine
baking,Boiling; Bouncing; Mechanisms; Tearing; Gears
balancing,Mechanisms; Boiling; Gears; Splinter; Tearing
barbecuing,Drum roll; Yodeling; Child singing; Swing music; Musical instrument
barking,Growling; Bark; Howl; Sniff; Whistle
bending,Bouncing; Tearing; Humming; Squeak; Boiling
bicycling,"Rowboat, canoe, kayak; Lawn mower; Motorboat, speedboat; Hip hop music; Motor vehicle (road)"
biting,Biting; Tearing; Bouncing; Boiling; Scratch
blowing,Buzz; Bouncing; Humming; Tearing; Shuffle
boarding,Boiling; Scissors; Whip; Gears; Conversation
boating,Ship; Bicycle; Motorcycle; Wood; Helicopter
boiling,Boiling; Whip; Bouncing; Liquid; Gears
